Authors,Title,Year,Source title,Volume,Page start,Page end,DOI,Link,Author Keywords,Index Keywords,Source
"Albareda-Tiana S., García-González E., Jiménez-Fontana R., Solís-Espallargas C.",Implementing pedagogical approaches for ESD in initial teacher training at Spanish universities,2019,Sustainability (Switzerland),11,,,10.3390/su11184927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072626551&doi=10.3390%2fsu11184927&partnerID=40&md5=f56e4f26d906704ee6515a13ee9dc56d,Education for sustainable development; Individual ecological footprint; Initial teacher training; Sustainable competencies; Sustainable consumption patterns; Transformative learning,ecological footprint; educational attainment; higher education; learning; sustainable development; teacher training; university sector; Spain,Scopus
"Álvarez-García O., García-Escudero L.Á., Salvà-Mut F., Calvo-Sastre A.",Variables influencing pre-service teacher training in education for sustainable development: A case study of two Spanish universities,2019,Sustainability (Switzerland),11,,,10.3390/su11164412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070784779&doi=10.3390%2fsu11164412&partnerID=40&md5=7a44285db605fd0a8a0dd36523d86520,Education for sustainable development; Environmental competencies; Environmental education; Influential variables; Pre-service teacher training,demography; education; environmental education; sustainable development; teacher training; university sector; Spain,Scopus
"Monroe M.C., Plate R.R., Oxarart A., Bowers A., Chaves W.A.",Identifying effective climate change education strategies: a systematic review of the research,2019,Environmental Education Research,25,791,812,10.1080/13504622.2017.1360842,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028558999&doi=10.1080%2f13504622.2017.1360842&partnerID=40&md5=4737cb893716069570c9ad11b6fa35cd,Climate change; environmental education; systematic review,,Scopus
"Stevenson K.T., Peterson M.N., Bondell H.D.","The influence of personal beliefs, friends, and family in building climate change concern among adolescents",2019,Environmental Education Research,25,832,845,10.1080/13504622.2016.1177712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964680210&doi=10.1080%2f13504622.2016.1177712&partnerID=40&md5=0dabdea33f89aa5317be4ac3fbf1ed86,Climate change; climate change concern; climate communication; climate conversations; climate education; climate literacy,,Scopus
"Vare P., Arro G., de Hamer A., Gobbo G.D., de Vries G., Farioli F., Kadji-Beltran C., Kangur M., Mayer M., Millican R., Nijdam C., Réti M., Zachariou A.",Devising a competence-based training program for educators of sustainable development: Lessons learned,2019,Sustainability (Switzerland),11,,,10.3390/su11071890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064068546&doi=10.3390%2fsu11071890&partnerID=40&md5=d06f276611e6d3b2076e0ca9a195d88c,Competence framework; Competences; ESD; Teacher education,economic growth; education; education policy; European Union; holistic approach; learning; sustainability; sustainable development; teaching; training,Scopus
"Xiao Y., Watson M.",Guidance on Conducting a Systematic Literature Review,2019,Journal of Planning Education and Research,39,93,112,10.1177/0739456X17723971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060520001&doi=10.1177%2f0739456X17723971&partnerID=40&md5=cd31dada0ac0409b497dd48a69bfed9c,literature review; methodology; synthesis; typology,,Scopus
Pereira F.,"Teacher education, teachers' work, and justice in education: Third space and mediation epistemology",2019,Australian Journal of Teacher Education,44,,,10.14221/ajte.2018v44n3.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064050407&doi=10.14221%2fajte.2018v44n3.5&partnerID=40&md5=e6acd6ed27499cf945a363f2911771c1,,,Scopus
"Albareda-Tiana S., Vidal-Raméntol S., Pujol-Valls M., Fernández-Morilla M.",Holistic approaches to develop sustainability and research competencies in pre-service teacher training,2018,Sustainability (Switzerland),10,,,10.3390/su10103698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055007870&doi=10.3390%2fsu10103698&partnerID=40&md5=2c78cad1447169fd82646fbd7ee490ae,Cross-disciplinary workshop on sustainable food; Higher Education; Project-Oriented Learning; Research competencies; Sustainability competencies; Sustainable food; Teacher training,,Scopus
Namdar B.,Teaching global climate change to pre-service middle school teachers through inquiry activities,2018,Research in Science and Technological Education,36,440,462,10.1080/02635143.2017.1420643,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041101879&doi=10.1080%2f02635143.2017.1420643&partnerID=40&md5=164f0975a83ae69d2dbac9c72b163529,global climate change; inquiry-based learning; Science education; socio-scientific issues,,Scopus
Williams L.,Transformative Sustainability Education and Empowerment Practice on Indigenous Lands: Part One,2018,Journal of Transformative Education,16,344,364,10.1177/1541344618789363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052243839&doi=10.1177%2f1541344618789363&partnerID=40&md5=fae93ffc6bab664e43f0bfe1280348ba,indigenous health disparities; pedagogy; sustainability,,Scopus
Clausen S.W.,Exploring the pedagogical content knowledge of Danish geography teachers: teaching weather formation and climate change,2018,International Research in Geographical and Environmental Education,27,267,280,10.1080/10382046.2017.1349376,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025152916&doi=10.1080%2f10382046.2017.1349376&partnerID=40&md5=2532f4c6865510f96e3a7f6f13280104,action competent citizen; Geography teaching; PCK consensus model; socio-scientific issue; weather formation and climate change,citizenship; climate change; curriculum; geography education; numerical model; questionnaire survey; teaching; weather,Scopus
"Aksit O., McNeal K.S., Gold A.U., Libarkin J.C., Harris S.","The influence of instruction, prior knowledge, and values on climate change risk perception among undergraduates",2018,Journal of Research in Science Teaching,55,550,572,10.1002/tea.21430,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043586930&doi=10.1002%2ftea.21430&partnerID=40&md5=618c1532ec52de288acb7a45ee4cbb65,climate change; risk perception; undergraduate students,Decision making; Earth (planet); Risk assessment; Risk perception; Students; Teaching; Climate change risks; Climate science; Content knowledge; Domain specific; Perceptions of risks; Political orientation; Undergraduate Courses; Undergraduate students; Climate change,Scopus
"Bush D., Sieber R., Seiler G., Chandler M.",Examining Educational Climate Change Technology: How Group Inquiry Work with Realistic Scientific Technology Alters Classroom Learning,2018,Journal of Science Education and Technology,27,147,164,10.1007/s10956-017-9714-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030313037&doi=10.1007%2fs10956-017-9714-0&partnerID=40&md5=931ae37c6a157d9172fe47176feb49f9,Climate change; Education; Global climate modeling; Inquiry-based learning,,Scopus
"Stevenson K.T., King T.L., Selm K.R., Peterson M.N., Monroe M.C.",Framing climate change communication to prompt individual and collective action among adolescents from agricultural communities,2018,Environmental Education Research,24,365,377,10.1080/13504622.2017.1318114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017594538&doi=10.1080%2f13504622.2017.1318114&partnerID=40&md5=ad46bf8332095440cdb9d48aad6ea6bf,agriculture; climate change; Climate communication; climate education; climate literacy; framing,,Scopus
"You H.S., Marshall J.A., Delgado C.",Assessing students' disciplinary and interdisciplinary understanding of global carbon cycling,2018,Journal of Research in Science Teaching,55,377,398,10.1002/tea.21423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042161936&doi=10.1002%2ftea.21423&partnerID=40&md5=4ed73d70dff20370b69d437b676815c5,global carbon cycling; interdisciplinary assessment; interdisciplinary learning; interdisciplinary understanding; Rasch analysis,Climate change; Education; Teaching; Carbon cycling; interdisciplinary assessment; Interdisciplinary learning; interdisciplinary understanding; Rasch analysis; Students,Scopus
"Bürgener L., Barth M.",Sustainability competencies in teacher education: Making teacher education count in everyday school practice,2018,Journal of Cleaner Production,174,821,826,10.1016/j.jclepro.2017.10.263,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038859548&doi=10.1016%2fj.jclepro.2017.10.263&partnerID=40&md5=8e8e27ece71260fe4df2f2e31381417c,Community of practice; Competencies; Education for sustainable development; Living laboratories; Open learning environments; Teacher education,Computer aided instruction; Planning; Students; Sustainable development; Teaching; Community of practice; Competencies; Education for sustainable development; Living laboratories; Open learning; Teacher education; Education,Scopus
"Drewes A., Henderson J., Mouza C.",Professional development design considerations in climate change education: teacher enactment and student learning,2018,International Journal of Science Education,40,67,89,10.1080/09500693.2017.1397798,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033715861&doi=10.1080%2f09500693.2017.1397798&partnerID=40&md5=00da26cbccc033648e676bd1bf2e98ec,Climate change; conceptual travel; learning outcomes; professional development,,Scopus
"Varela-Losada M., Arias-Correa A., Vega-Marcote P.",Training teachers committed to climate change mitigation,2018,Climate Change Management,,307,321,10.1007/978-3-319-70199-8_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070752300&doi=10.1007%2f978-3-319-70199-8_18&partnerID=40&md5=c904978cfedf52c9141a3bee16632ed1,Climate change; Environmental education and sustainability; ICTs; Teacher training; Teaching skills,,Scopus
"Carracedo F.S., Segalàs J., Vidal E., Martin C., Climent J., López D., Cabré J.",Improving engineering educators’ sustainability competencies by using competency maps. The EDINSOST project,2018,International Journal of Engineering Education,34,1527,1537,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052708926&partnerID=40&md5=272a49413276b100b3c6ed2db2f2b78c,Assessment of educators; Education for sustainable development; Faculty training; Sustainability competency map; Sustainability in higher education; Teachers training; Training,Students; Sustainable development; Teaching; Assessment of educators; Education for sustainable development; Faculty training; Higher education; Teachers trainings; Personnel training,Scopus
"Zangori L., Peel A., Kinslow A., Friedrichsen P., Sadler T.D.",Student development of model-based reasoning about carbon cycling and climate change in a socio-scientific issues unit,2017,Journal of Research in Science Teaching,54,1249,1273,10.1002/tea.21404,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020445477&doi=10.1002%2ftea.21404&partnerID=40&md5=20ec84d8f44cbe272f8ecc2e75be705a,carbon cycling; climate change; model-based reasoning; socio-scientific issue,Climate models; Curricula; Education; Plants (botany); Students; Teaching; Biological process; Carbon cycling; Carbon systems; Model-based Reasoning; Natural systems; Science literacy; Socio-scientific issues; Student development; Climate change,Scopus
"Scherer H.H., Holder L., Herbert B.",Student learning of complex earth systems: Conceptual frameworks of earth systems and instructional design,2017,Journal of Geoscience Education,65,473,489,10.5408/16-208.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034948764&doi=10.5408%2f16-208.1&partnerID=40&md5=ad69a83df1ff5a7de5f32bda11e2fad9,Complex systems; Complexity; Earth systems; Systems thinking,complexity; conceptual framework; Earth science; educational development; knowledge; learning; literature review; student,Scopus
"Wodika A., Schoof J.",Assessing climate change education on a midwestern college campus,2017,Applied Environmental Education and Communication,16,262,275,10.1080/1533015X.2017.1348268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028552152&doi=10.1080%2f1533015X.2017.1348268&partnerID=40&md5=064dd4bd1be3c040c5ff818794dc8512,,,Scopus
