Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Albareda-Tiana S., García-González E., Jiménez-Fontana R., Solís-Espallargas C.",57191052083;55549750700;56841561600;56461383800;,Implementing pedagogical approaches for ESD in initial teacher training at Spanish universities,2019,Sustainability (Switzerland),11,18,4927,,,,13,10.3390/su11184927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072626551&doi=10.3390%2fsu11184927&partnerID=40&md5=f56e4f26d906704ee6515a13ee9dc56d,"Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain; Faculty of Education, Universidad de Cádiz, Cádiz, 11519, Spain; Facultad de Educación, Universidad de Sevilla, Sevilla, 41013, Spain","Albareda-Tiana, S., Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain; García-González, E., Faculty of Education, Universidad de Cádiz, Cádiz, 11519, Spain; Jiménez-Fontana, R., Faculty of Education, Universidad de Cádiz, Cádiz, 11519, Spain; Solís-Espallargas, C., Facultad de Educación, Universidad de Sevilla, Sevilla, 41013, Spain","Within the framework of the United Nations 2030 Agenda for Sustainable Development, four case studies of the degree in Primary Education at three Spanish universities are analyzed. The aim is to study the suitability of three different active teaching-learning strategies: problem-based learning (PBL), project-oriented learning (POL), and a cross-disciplinary workshop. Another goal is to promote the integration of education for sustainable development (ESD) and measure the level of acquisition of several competencies of sustainability and the change in consumption habits of future teachers after implementing those pedagogical approaches. Initial and final ecological footprint (EF) as well as a rubric to measure the level of acquisition of competencies of sustainability were used as data collection instruments. The conclusions related to the research objectives show that when sustainability is implemented in the curriculum through active teaching-learning strategies, future teachers acquire competencies of sustainability. They also reveal that said strategies contribute to a change in consumption habits as a reduction in the EF is observed. There exists a relation between EF reduction and high levels of acquisition of competency in sustainability. © 2019 by the authors.",Education for sustainable development; Individual ecological footprint; Initial teacher training; Sustainable competencies; Sustainable consumption patterns; Transformative learning,ecological footprint; educational attainment; higher education; learning; sustainable development; teacher training; university sector; Spain,,,,,"EDU 2015-65574-R

2017 SGR 119

Fundación Tatiana Pérez de Guzmán el Bueno

Universitat Oberta de Catalunya, UOC","This research was funded by the EDINSOST Project ""Education and Social Innovation for Sustainability. Training at Spanish universities of professionals as agents of change to face the challenges of society"", funded by the ""R&D State programme oriented towards the challenges facing society"" of the Spanish Ministry of Economy and Finance [Ref. EDU 2015-65574-R] and also by the Tatiana P?rez de Guzm?n el Bueno Foundation. The authors gratefully acknowledge the support of the Integral Sustainability and Education (SEI) Research Group of the Universitat Internacional de Catalunya (2017 SGR 119). The authors also kindly thank M. Yolanda Fern?ndez from the Universidad Europea Miguel de Cervantes in Valladolid, Spain, for the statistical advice she provided.","Acknowledgments: The authors gratefully acknowledge the support of the Integral Sustainability and Education (SEI) Research Group of the Universitat Internacional de Catalunya (2017 SGR 119). The authors also kindly thank M. Yolanda Fernández from the Universidad Europea Miguel de Cervantes in Valladolid, Spain, for the statistical advice she provided.","Funding: This research was funded by the EDINSOST Project “Education and Social Innovation for Sustainability. Training at Spanish universities of professionals as agents of change to face the challenges of society”, funded by the “R&D State programme oriented towards the challenges facing society” of the Spanish Ministry of Economy and Finance [Ref. EDU 2015-65574-R] and also by the Tatiana Pérez de Guzmán el Bueno Foundation.","Albareda-Tiana, S.; Faculty of Education, Spain; email: salbareda@uic.es",,,MDPI AG,,,,,20711050,,,,English,Sustainability,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85072626551
"Álvarez-García O., García-Escudero L.Á., Salvà-Mut F., Calvo-Sastre A.",56899000300;6507635213;56308465800;57193712107;,Variables influencing pre-service teacher training in education for sustainable development: A case study of two Spanish universities,2019,Sustainability (Switzerland),11,16,4412,,,,3,10.3390/su11164412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070784779&doi=10.3390%2fsu11164412&partnerID=40&md5=7a44285db605fd0a8a0dd36523d86520,"Faculty of Education, University of Balearic Islands, Palma, 07122, Spain; School of Industrial Engineering, University of Valladolid, Valladolid, 47011, Spain","Álvarez-García, O., Faculty of Education, University of Balearic Islands, Palma, 07122, Spain; García-Escudero, L.Á., School of Industrial Engineering, University of Valladolid, Valladolid, 47011, Spain; Salvà-Mut, F., Faculty of Education, University of Balearic Islands, Palma, 07122, Spain; Calvo-Sastre, A., Faculty of Education, University of Balearic Islands, Palma, 07122, Spain","This paper analyzed the relationship that certain demographic and educational variables might have on the training in environmental education (EE) received by undergraduate students enrolled in a Degree in Primary Education (DPE) at two Spanish universities. For this purpose, they were given a questionnaire to assess the link between certain personal and educational characteristics relating to the students in the sample (n = 274) and three components of an environmental competence (EC) model: environmental knowledge, attitudes, and behaviors. The results indicate that variables like gender, the students' habitual place of residence, the type of leisure activities they undertook, and some educational factors had a significant impact on the acquisition of the said competencies. In light of these outcomes, the paper reflects on the possible role that non-university contexts might play in environmental education for pre-service teachers. © 2019 by the authors.",Education for sustainable development; Environmental competencies; Environmental education; Influential variables; Pre-service teacher training,demography; education; environmental education; sustainable development; teacher training; university sector; Spain,,,,,"Ministerio de Economía y Competitividad, MINECO: MTM2017-86061-C2-1-P

Consejería de Educación, Junta de Castilla y León

European Regional Development Fund, ERDF: VA002G18, VA005P17

Junta de Castilla y LeÃ³n","Funding: Research by L.A.G.-E. was partially supported by the Spanish Ministerio de Economía y Competitividad, grant MTM2017-86061-C2-1-P, and by Consejería de Educación de la Junta de Castilla y León and FEDER, Grants VA005P17 and VA002G18.","Research by L.A.G.-E. was partially supported by the Spanish Ministerio de Econom?a y Competitividad, grant MTM2017-86061-C2-1-P, and by Consejer?a de Educaci?n de la Junta de Castilla y Le?n and FEDER, Grants VA005P17 and VA002G18.",,"Álvarez-García, O.; Faculty of Education, Spain; email: olaya.alvarez@uib.es",,,MDPI AG,,,,,20711050,,,,English,Sustainability,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85070784779
"Monroe M.C., Plate R.R., Oxarart A., Bowers A., Chaves W.A.",7006334976;35559440800;36195871600;55318968200;55569363900;,Identifying effective climate change education strategies: a systematic review of the research,2019,Environmental Education Research,25,6,,791,812,,108,10.1080/13504622.2017.1360842,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028558999&doi=10.1080%2f13504622.2017.1360842&partnerID=40&md5=4737cb893716069570c9ad11b6fa35cd,"School of Forest Resources and Conservation, University of Florida, Gainesville, FL, United States; Office of Interdisciplinary Studies, University of Central Florida, Orlando, FL, United States; School of Education, Virginia Tech, Blacksburg, VA, United States","Monroe, M.C., School of Forest Resources and Conservation, University of Florida, Gainesville, FL, United States; Plate, R.R., Office of Interdisciplinary Studies, University of Central Florida, Orlando, FL, United States; Oxarart, A., School of Forest Resources and Conservation, University of Florida, Gainesville, FL, United States; Bowers, A., School of Education, Virginia Tech, Blacksburg, VA, United States; Chaves, W.A., School of Forest Resources and Conservation, University of Florida, Gainesville, FL, United States","Increased interest in climate change education and the growing recognition of the challenges inherent to addressing this issue create an opportunity to conduct a systematic review to understand what research can contribute to our ideas about effective climate change education. An academic database, EBSCOhost, was used to identify 959 unique citation records addressing climate change education. Of these, 49 sources met the criteria of focusing on assessment of climate change education interventions. Analysis of these sources examined the intervention purpose, assessment methodology, and identified strategies that might result in effective interventions. Two themes were identified that are common to most environmental education: (1) focusing on personally relevant and meaningful information and (2) using active and engaging teaching methods. Four themes specific to issues such as climate change were also generated: (1) engaging in deliberative discussions, (2) interacting with scientists, (3) addressing misconceptions, and (4) implementing school or community projects. Suggestions for addressing controversial topics like climate change are offered. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Climate change; environmental education; systematic review,,,,,,"National Institute of Food and Agriculture, NIFA: 2011-68002-30185","This activity is part of eeWORKS, a project of the North American Association of Environmental Education. It was funded by the Pine Integrated Network: Education, Mitigation, and Adaptation project (PINEMAP), which is a Coordinated Agricultural?Project funded by the USDA National Institute of Food and Agriculture [grant number 2011-68002-30185].",,,"Monroe, M.C.; School of Forest Resources and Conservation, United States; email: mcmonroe@ufl.edu",,,Routledge,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-85028558999
"Stevenson K.T., Peterson M.N., Bondell H.D.",55629773300;55112392100;18036851700;,"The influence of personal beliefs, friends, and family in building climate change concern among adolescents",2019,Environmental Education Research,25,6,,832,845,,39,10.1080/13504622.2016.1177712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964680210&doi=10.1080%2f13504622.2016.1177712&partnerID=40&md5=0dabdea33f89aa5317be4ac3fbf1ed86,"Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Department of Statistics, North Carolina State University, Raleigh, NC, United States","Stevenson, K.T., Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Peterson, M.N., Fisheries, Wildlife, and Conservation Biology Program, Department of Forestry & Environmental Resources, North Carolina State University, Raleigh, NC, United States; Bondell, H.D., Department of Statistics, North Carolina State University, Raleigh, NC, United States","Understanding adolescent climate change concern (CCC) may be a key strategy for building a citizenry that supports climate change action, as adolescents are likely less influenced by ideological polarization than adults. Prior research shows that climate education may build concern among adolescents, but other factors such as peer pressure may also be important. We investigated the relationships between CCC, acceptance of anthropogenic global warming (AGW), perceived level of acceptance among friends and family, and frequency of discussion of the issue among 426 middle school students in North Carolina, USA, and developed a novel instrument to measure each of these constructs. Acceptance of AGW had the strongest association with CCC. Frequency of discussion with friends and family was the second strongest predictor. Perceived level of acceptance among family and friends was the third strongest predictor. Model selection results suggest family had more influence than friends in this study. Girls perceived climate change as a higher risk than boys. In addition to building acceptance of AGW, leveraging discussions with peers and especially family may help build concern for climate change among future generations. © 2016, © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Climate change; climate change concern; climate communication; climate conversations; climate education; climate literacy,,,,,,"North Carolina Sea Grant, North Carolina State University, NCSG: 2012-R/12-HCE-5","This work was supported by North Carolina Sea Grant [Project number 2012-R/12-HCE-5]. We would like to thank Renee Strnad, Susan Moore, and the teachers and students that participated in this project.",,,"Stevenson, K.T.; Fisheries, United States; email: kathryn_stevenson@ncsu.edu",,,Routledge,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-84964680210
"Vare P., Arro G., de Hamer A., Gobbo G.D., de Vries G., Farioli F., Kadji-Beltran C., Kangur M., Mayer M., Millican R., Nijdam C., Réti M., Zachariou A.",56012073000;55357940100;56910250900;57208188251;35221305700;54893089300;55135925100;56077992400;57189565614;57195230644;57208185604;56909888100;28268200800;,Devising a competence-based training program for educators of sustainable development: Lessons learned,2019,Sustainability (Switzerland),11,7,1890,,,,23,10.3390/su11071890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064068546&doi=10.3390%2fsu11071890&partnerID=40&md5=d06f276611e6d3b2076e0ca9a195d88c,"School of Education, University of Gloucestershire, Francis Close Hall, Cheltenham, GL50 4AZ, United Kingdom; Institute of Ecology, Tallinn University, Tallinn, 10120, Estonia; Duurzame PABO, Sint Kruis, 4528 KH, Netherlands; Department of Education, Languages, Interculture and Psychology, University of Florence, Florence, 50121, Italy; Italian Association of Sustainability Science (IASS), Rome, 00184, Italy; Department of Education, School of Education and Social Sciences, Frederick University, Nicosia, 1036, Cyprus; Hungarian Research Teachers' Association, Budapest, 1363, Hungary","Vare, P., School of Education, University of Gloucestershire, Francis Close Hall, Cheltenham, GL50 4AZ, United Kingdom; Arro, G., Institute of Ecology, Tallinn University, Tallinn, 10120, Estonia; de Hamer, A., Duurzame PABO, Sint Kruis, 4528 KH, Netherlands; Gobbo, G.D., Department of Education, Languages, Interculture and Psychology, University of Florence, Florence, 50121, Italy, Italian Association of Sustainability Science (IASS), Rome, 00184, Italy; de Vries, G., Duurzame PABO, Sint Kruis, 4528 KH, Netherlands; Farioli, F., Italian Association of Sustainability Science (IASS), Rome, 00184, Italy; Kadji-Beltran, C., Department of Education, School of Education and Social Sciences, Frederick University, Nicosia, 1036, Cyprus; Kangur, M., Institute of Ecology, Tallinn University, Tallinn, 10120, Estonia; Mayer, M., Italian Association of Sustainability Science (IASS), Rome, 00184, Italy; Millican, R., School of Education, University of Gloucestershire, Francis Close Hall, Cheltenham, GL50 4AZ, United Kingdom; Nijdam, C., Duurzame PABO, Sint Kruis, 4528 KH, Netherlands; Réti, M., Hungarian Research Teachers' Association, Budapest, 1363, Hungary; Zachariou, A., Department of Education, School of Education and Social Sciences, Frederick University, Nicosia, 1036, Cyprus","Over recent decades, education policy has been preoccupied with economic growth while paying insufficient heed to global sustainability challenges. International initiatives to promote education for sustainable development (ESD) have been hampered by a lack of clarity on how to implement this form of education. To address this concern, a Rounder Sense of Purpose (RSP) began as a three-year EU-funded project that set out to develop a practical accreditation model for educators working on ESD. Expert and user opinion was sought through several rounds of structured consultation with over 500 people, chiefly using a Delphi approach, to develop and validate the model. The resulting framework comprises 12 competences, each with three learning outcomes and several underpinning components. This is supported by a range of activities largely reflecting a constructivist pedagogy. A range of assessment techniques have also been piloted within the project although this remains an area for further enquiry. Ultimately, it was decided not to design a single qualification template because defining the award to such a level of detail would make it more difficult to apply across multiple jurisdictions. Partners also felt that such an approach would atomize learning in a way that runs counter to the holistic principles of sustainability. RSP provided a rich learning experience for those involved and has already demonstrated its potential to extend its impact well beyond the original participants. © 2019 by the authors.",Competence framework; Competences; ESD; Teacher education,economic growth; education; education policy; European Union; holistic approach; learning; sustainability; sustainable development; teaching; training,,,,,,,,,"Vare, P.; School of Education, Francis Close Hall, United Kingdom; email: pvare@glos.ac.uk",,,MDPI AG,,,,,20711050,,,,English,Sustainability,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85064068546
"Xiao Y., Watson M.",35173868900;57205562834;,Guidance on Conducting a Systematic Literature Review,2019,Journal of Planning Education and Research,39,1,,93,112,,113,10.1177/0739456X17723971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060520001&doi=10.1177%2f0739456X17723971&partnerID=40&md5=cd31dada0ac0409b497dd48a69bfed9c,"Texas A&M University, College Station, TX, United States","Xiao, Y., Texas A&M University, College Station, TX, United States; Watson, M., Texas A&M University, College Station, TX, United States","Literature reviews establish the foundation of academic inquires. However, in the planning field, we lack rigorous systematic reviews. In this article, through a systematic search on the methodology of literature review, we categorize a typology of literature reviews, discuss steps in conducting a systematic literature review, and provide suggestions on how to enhance rigor in literature reviews in planning education and research. © The Author(s) 2017.",literature review; methodology; synthesis; typology,,,,,,"National Institute of Standards and Technology, NIST: 70NANB15H044","The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research was funded by the Center for Risk-Based Community Resilience Planning, a Center of Excellence funded through a cooperative agreement between the U.S. National Institute of Science and Technology and Colorado State University [NIST Financial Assistance Award Number: 70NANB15H044].",,,"Xiao, Y.; Texas A&M University, College Station, United States; email: yuxiao@tamu.edu",,,SAGE Publications Inc.,,,,,0739456X,,,,English,J. Plann. Educ. Res.,Review,Final,,Scopus,2-s2.0-85060520001
Pereira F.,55086111200;,"Teacher education, teachers' work, and justice in education: Third space and mediation epistemology",2019,Australian Journal of Teacher Education,44,3,5,,,,3,10.14221/ajte.2018v44n3.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064050407&doi=10.14221%2fajte.2018v44n3.5&partnerID=40&md5=e6acd6ed27499cf945a363f2911771c1,"Centre for Research and Intervention in Education - CIIE, Faculty of Psychology and Educational Sciences, Porto University, Portugal","Pereira, F., Centre for Research and Intervention in Education - CIIE, Faculty of Psychology and Educational Sciences, Porto University, Portugal","A theoretical essay, based on the results of research projects on teacher education, teachers' work, and justice in education developed by the author, is presented. It reflects on teacher education and the epistemology of teachers' work, and proposes a mediational and a narrative perspective towards a third space in Teacher education. An alternative mediation epistemological approach to justice in education and the epistemology of teachers' work is presented, aiming towards an understanding of the ways in which teachers' education has the possibility of making a difference in the construction of a more just public school. © 2019 Social Science Press.",,,,,,,"UID/CED/00167/2013

Fundação para a Ciência e a Tecnologia, FCT","This work was funded (in part) by National Funds through the FCT – Fundação para a Ciência e a Tecnologia (Portuguese Foundation for Science and Technology), within the strategic project of CIIE, with the ref. “UID/CED/00167/2013”.",,,"Pereira, F.; Centre for Research and Intervention in Education - CIIE, Portugal; email: fpereira@fpce.up.pt",,,Social Science Press,,,,,3135373,,,,English,Aust. J. Teach. Educ.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85064050407
"Albareda-Tiana S., Vidal-Raméntol S., Pujol-Valls M., Fernández-Morilla M.",57191052083;55753669000;57202038083;57191907255;,Holistic approaches to develop sustainability and research competencies in pre-service teacher training,2018,Sustainability (Switzerland),10,10,3698,,,,29,10.3390/su10103698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055007870&doi=10.3390%2fsu10103698&partnerID=40&md5=2c78cad1447169fd82646fbd7ee490ae,"Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain","Albareda-Tiana, S., Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain; Vidal-Raméntol, S., Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain; Pujol-Valls, M., Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain; Fernández-Morilla, M., Faculty of Education, Universitat Internacional de Catalunya, Barcelona, 08017, Spain","Since the Sustainable Development Goals (SDGs) came into effect, both UNESCO and other international organisations recommend empowering youth to implement the SDGs in universities. Getting started with the SDGs at university level is of special relevance in pre-service teacher training since future teachers are powerful agents of change in the lives of young people. Future teachers need to acquire competencies in sustainability to be able to promote meaningful changes in sustainable behaviour. To that end, holistic approaches to facilitate their acquisition need to be developed. The aim of this study is to explore which teaching methodologies are suitable for the development of competencies in sustainability and research in Higher Education (HE). The participants taking part in the study are students in pre-service teacher training. The experimental educational model used for the development of competencies in sustainability and research consists of a methodological sequence of Project-Oriented Learning (POL) and a Cross-disciplinaryWorkshop on Sustainable Food. This study provides evidence that POL is an excellent methodology for developing competencies in sustainability and facilitates the relationship between sustainability and research competencies. © 2018 by the authors.",Cross-disciplinary workshop on sustainable food; Higher Education; Project-Oriented Learning; Research competencies; Sustainability competencies; Sustainable food; Teacher training,,,,,,,"Funding: This research was funded by the government of Catalonia in the call for the ARMIF 2015 project “Global plan of integrating mathematical, scientific and linguistic competencies in pre-service teacher training” [Ref. 2015 ARMIF 00044] and the EDINSOST Project “Education and Social Innovation for Sustainability. Training at Spanish universities of professionals as agents of change to face the challenges of society”, funded by the “R&D State programme oriented towards the challenges facing society” of the Spanish Ministry of Economy and Finance [Ref. EDU 2015-65574-R].",,,"Albareda-Tiana, S.; Faculty of Education, Spain; email: salbareda@uic.es",,,MDPI AG,,,,,20711050,,,,English,Sustainability,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85055007870
Namdar B.,55903401300;,Teaching global climate change to pre-service middle school teachers through inquiry activities,2018,Research in Science and Technological Education,36,4,,440,462,,3,10.1080/02635143.2017.1420643,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041101879&doi=10.1080%2f02635143.2017.1420643&partnerID=40&md5=164f0975a83ae69d2dbac9c72b163529,"Department of Mathematics and Science Education, Recep Tayyip Erdogan University, Cayeli, Rize, Turkey","Namdar, B., Department of Mathematics and Science Education, Recep Tayyip Erdogan University, Cayeli, Rize, Turkey","Background Global climate change (GCC) has become one of the most debated socio-scientific issues after an increase in media attention. Recently, there have also been several studies describing students’ and teachers’ alternative conceptions about GCC. Therefore, designing learning environments at the college level that focus on accurate conceptions of GCC has become important in order for pre-service teachers to correct their alternative conceptions. There are, however, a limited number of studies that aim to both increase pre-service teachers’ knowledge about these issues and explore their perceptions of teaching this subject. Purpose The purpose of this study was to investigate the effects of inquiry-based activities on pre-service teachers’ knowledge about GCC and their perceptions of teaching this subject. Sample The participants were 102 pre-service middle school mathematics and science teachers who were enrolled in an environmental education course. Design and methods A one group pre-test–post-test design was employed to identify changes after pre-service teachers engaged in a learning unit on GCC. The inquiry-based GCC unit was implemented during the spring semester at a public university in northeastern Turkey. The unit was implemented over seven sessions. Data were collected through two questionnaires: the ‘GCC content questionnaire’ and the ‘perceptions of teaching GCC questionnaire’. Each questionnaire was administered both before and after implementation of the unit. Content questionnaire responses were analyzed using a paired-samples t-test. Responses to the perceptions of teaching questionnaire were analyzed using inductive open coding. Results Results indicated that after the implementation the pre-service teachers significantly improved their understanding of GCC across all items in the content questionnaire, saw several benefits of and challenges about teaching GCC, and perceived themselves as better prepared to teach about GCC in their future classrooms. Conclusions Teacher education programs should integrate inquiry-based GCC instruction to increase pre-service teachers’ knowledge as well as their preparedness to teach about this important planetary issue. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",global climate change; inquiry-based learning; Science education; socio-scientific issues,,,,,,,,,,"Namdar, B.; Department of Mathematics and Science Education, Turkey; email: bahadir.namdar@erdogan.edu.tr",,,Routledge,,,,,2635143,,,,English,Res. Sci. Technol. Educ.,Article,Final,,Scopus,2-s2.0-85041101879
Williams L.,7404478290;,Transformative Sustainability Education and Empowerment Practice on Indigenous Lands: Part One,2018,Journal of Transformative Education,16,4,,344,364,,6,10.1177/1541344618789363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052243839&doi=10.1177%2f1541344618789363&partnerID=40&md5=fae93ffc6bab664e43f0bfe1280348ba,"Whakauae Research Services, Whanganui, New Zealand; School of Public Health, University of Saskatchewan, Canada","Williams, L., Whakauae Research Services, Whanganui, New Zealand, School of Public Health, University of Saskatchewan, Canada","Set against a context of Indigenous health disparities, climate turmoil, and unpredictability of human-ecological systems, this article asks the question of how transformative sustainability education (TSE) with its increasing emphasis on Indigenous knowledge and ways of being can be effectively and ethically applied in colonized modern nation-states? In doing so, it makes the necessary links between the interconnected goals of addressing underlying determinants of Indigenous health and supporting the resurgence of Indigenous knowledges and ways of being toward ensuring planetary well-being more generally. As a means of negotiating this critical interface, three pedagogical capabilities of TSE (Scaling DEEP, Scaling OUT, and Scaling UP) are briefly outlined. Having laid this theoretical groundwork, this article (Part 1) focuses primarily on the role of the transformative sustainability educator in Scaling DEEP (effecting cultural and relational transformation from a de-colonial perspective) as a necessary precursor to the interrelated domains of Scaling OUT and UP (programming and policy change). © The Author(s) 2018.",indigenous health disparities; pedagogy; sustainability,,,,,,,,,,"Williams, L.; Whakauae Research Services, Community House, 60 Ridgway Street, New Zealand; email: lewis@whakauae.co.nz",,,SAGE Publications Inc.,,,,,15413446,,,,English,J. Transform. Educ.,Article,Final,,Scopus,2-s2.0-85052243839
